Equipo,Fecha de Inicio de Mantenimiento,Fecha de Término de Mantenimiento,Falla Identificada,Descripción de la Falla,Causa Raíz,Tiempo Estimado de Mantenimiento (hrs),Tiempo Real de Mantenimiento (hrs)
Tamices o Cribas,2217-03-10,2217-03-12 00:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Error humano,48,48
Prensas,2217-04-14,2217-04-14 05:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Mantenimiento insuficiente,4,5
Lavadoras de Pulpa,2217-05-29,2217-05-31 01:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Condiciones operativas extremas,48,49
Tamices o Cribas,2217-06-28,2217-06-29 02:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Desgaste natural,24,26
Bombas,2217-08-07,2217-08-07 06:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Error humano,4,6
Digestores,2217-10-06,2217-10-07 22:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Error humano,48,46
Refinadores,2217-11-25,2217-11-25 12:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Fatiga del material,12,12
Digestores,2218-01-24,2218-01-25 23:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Desgaste natural,48,47
Tamices o Cribas,2218-02-23,2218-02-24 22:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Mantenimiento insuficiente,48,46
Prensas,2218-03-30,2218-03-30 07:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Condiciones operativas extremas,6,7
Tamices o Cribas,2218-04-29,2218-04-29 03:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Sobrecarga,4,3
Digestores,2218-06-28,2218-06-29 00:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Falla mecánica,24,24
Digestores,2218-08-27,2218-08-29 00:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Mantenimiento insuficiente,48,48
Bombas,2218-10-06,2218-10-06 09:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Sobrecarga,8,9
Prensas,2218-11-10,2218-11-12 22:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,72,70
Tamices o Cribas,2218-12-10,2218-12-10 06:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,6,6
Prensas,2219-01-14,2219-01-16 01:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Sobrecarga,48,49
Lavadoras de Pulpa,2219-02-28,2219-03-02 22:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Desgaste natural,72,70
Lavadoras de Pulpa,2219-04-14,2219-04-15 22:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Sobrecarga,48,46
Lavadoras de Pulpa,2219-05-29,2219-05-29 03:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Mantenimiento insuficiente,4,3
Lavadoras de Pulpa,2219-07-13,2219-07-16 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Fatiga del material,72,74
Lavadoras de Pulpa,2219-08-27,2219-08-27 09:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Mantenimiento insuficiente,8,9
Digestores,2219-10-26,2219-10-26 14:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Desgaste natural,12,14
Refinadores,2219-12-15,2219-12-15 10:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Mantenimiento insuficiente,12,10
Refinadores,2220-02-03,2220-02-04 23:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Corrosión,48,47
Refinadores,2220-03-24,2220-03-26 23:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Corrosión,72,71
Digestores,2220-05-23,2220-05-23 10:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Sobrecarga,8,10
Tamices o Cribas,2220-06-22,2220-06-22 07:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,6,7
Tamices o Cribas,2220-07-22,2220-07-22 06:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,8,6
Lavadoras de Pulpa,2220-09-05,2220-09-05 14:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,12,14
Tamices o Cribas,2220-10-05,2220-10-05 08:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Corrosión,8,8
Refinadores,2220-11-24,2220-11-24 03:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Error humano,4,3
Digestores,2221-01-23,2221-01-25 00:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Mantenimiento insuficiente,48,48
Lavadoras de Pulpa,2221-03-09,2221-03-09 13:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Condiciones operativas extremas,12,13
Lavadoras de Pulpa,2221-04-23,2221-04-24 02:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Mantenimiento insuficiente,24,26
Digestores,2221-06-22,2221-06-22 05:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Corrosión,6,5
Lavadoras de Pulpa,2221-08-06,2221-08-08 01:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Fatiga del material,48,49
Bombas,2221-09-15,2221-09-15 23:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Desgaste natural,24,23
Bombas,2221-10-25,2221-10-26 22:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Condiciones operativas extremas,48,46
Lavadoras de Pulpa,2221-12-09,2221-12-09 08:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Sobrecarga,6,8
Refinadores,2222-01-28,2222-01-30 00:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Fatiga del material,48,48
Digestores,2222-03-29,2222-03-30 01:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Mantenimiento insuficiente,24,25
Prensas,2222-05-03,2222-05-03 10:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Corrosión,8,10
Lavadoras de Pulpa,2222-06-17,2222-06-20 02:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,72,74
Refinadores,2222-08-06,2222-08-06 06:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Sobrecarga,6,6
Tamices o Cribas,2222-09-05,2222-09-05 14:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Error humano,12,14
Lavadoras de Pulpa,2222-10-20,2222-10-20 12:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Error humano,12,12
Lavadoras de Pulpa,2222-12-04,2222-12-04 12:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Corrosión,12,12
Lavadoras de Pulpa,2223-01-18,2223-01-18 03:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Corrosión,4,3
Prensas,2223-02-22,2223-02-23 23:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Falla mecánica,48,47
Refinadores,2223-04-13,2223-04-14 23:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Error humano,48,47
Digestores,2223-06-12,2223-06-12 06:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Desgaste natural,4,6
Tamices o Cribas,2223-07-12,2223-07-15 01:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Condiciones operativas extremas,72,73
Refinadores,2223-08-31,2223-09-02 22:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Sobrecarga,72,70
Digestores,2223-10-30,2223-10-31 02:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Error humano,24,26
Prensas,2223-12-04,2223-12-05 00:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Corrosión,24,24
Lavadoras de Pulpa,2224-01-18,2224-01-20 23:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,72,71
Prensas,2224-02-22,2224-02-25 00:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Corrosión,72,72
Tamices o Cribas,2224-03-23,2224-03-23 14:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,12,14
Tamices o Cribas,2224-04-22,2224-04-22 14:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,12,14
Prensas,2224-05-27,2224-05-27 07:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,8,7
Refinadores,2224-07-16,2224-07-16 12:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Condiciones operativas extremas,12,12
Prensas,2224-08-20,2224-08-21 02:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,24,26
Tamices o Cribas,2224-09-19,2224-09-19 05:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Sobrecarga,4,5
Bombas,2224-10-29,2224-10-29 22:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Mantenimiento insuficiente,24,22
Bombas,2224-12-08,2224-12-08 02:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Corrosión,4,2
Prensas,2225-01-12,2225-01-12 03:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,4,3
Tamices o Cribas,2225-02-11,2225-02-12 22:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Sobrecarga,48,46
Digestores,2225-04-12,2225-04-12 10:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Mantenimiento insuficiente,12,10
Digestores,2225-06-11,2225-06-12 22:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Desgaste natural,48,46
Refinadores,2225-07-31,2225-08-03 00:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,72,72
Bombas,2225-09-09,2225-09-10 00:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Condiciones operativas extremas,24,24
Digestores,2225-11-08,2225-11-10 02:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Sobrecarga,48,50
Tamices o Cribas,2225-12-08,2225-12-08 11:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Error humano,12,11
Tamices o Cribas,2226-01-07,2226-01-09 22:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Error humano,72,70
Refinadores,2226-02-26,2226-02-26 06:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Falla mecánica,8,6
Refinadores,2226-04-17,2226-04-17 05:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Mantenimiento insuficiente,4,5
Bombas,2226-05-27,2226-05-27 06:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Falla mecánica,6,6
Lavadoras de Pulpa,2226-07-11,2226-07-13 02:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Fatiga del material,48,50
Prensas,2226-08-15,2226-08-15 05:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,4,5
Bombas,2226-09-24,2226-09-26 23:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Mantenimiento insuficiente,72,71
Lavadoras de Pulpa,2226-11-08,2226-11-11 02:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Condiciones operativas extremas,72,74
Lavadoras de Pulpa,2226-12-23,2226-12-26 01:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,72,73
Prensas,2227-01-27,2227-01-29 22:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Condiciones operativas extremas,72,70
Tamices o Cribas,2227-02-26,2227-02-26 10:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Condiciones operativas extremas,8,10
Lavadoras de Pulpa,2227-04-12,2227-04-14 02:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Corrosión,48,50
Refinadores,2227-06-01,2227-06-01 02:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Corrosión,4,2
Tamices o Cribas,2227-07-01,2227-07-04 00:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Condiciones operativas extremas,72,72
Lavadoras de Pulpa,2227-08-15,2227-08-18 01:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Falla mecánica,72,73
Refinadores,2227-10-04,2227-10-04 06:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Corrosión,8,6
Tamices o Cribas,2227-11-03,2227-11-03 09:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Fatiga del material,8,9
Prensas,2227-12-08,2227-12-08 06:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,4,6
Lavadoras de Pulpa,2228-01-22,2228-01-22 06:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,6,6
Bombas,2228-03-02,2228-03-04 01:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Corrosión,48,49
Bombas,2228-04-11,2228-04-11 12:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Falla mecánica,12,12
Refinadores,2228-05-31,2228-06-02 01:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,48,49
Bombas,2228-07-10,2228-07-10 08:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Sobrecarga,6,8
Digestores,2228-09-08,2228-09-08 04:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Desgaste natural,4,4
Tamices o Cribas,2228-10-08,2228-10-11 02:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,72,74
Tamices o Cribas,2228-11-07,2228-11-09 22:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,72,70
Prensas,2228-12-12,2228-12-15 00:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Corrosión,72,72
Prensas,2229-01-16,2229-01-16 06:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Corrosión,6,6
Tamices o Cribas,2229-02-15,2229-02-17 23:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,72,71
Refinadores,2229-04-06,2229-04-08 00:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Falla mecánica,48,48
Digestores,2229-06-05,2229-06-05 22:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Fatiga del material,24,22
Prensas,2229-07-10,2229-07-11 02:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Sobrecarga,24,26
Digestores,2229-09-08,2229-09-08 14:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Corrosión,12,14
Bombas,2229-10-18,2229-10-18 10:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Falla mecánica,12,10
Refinadores,2229-12-07,2229-12-07 04:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Corrosión,6,4
Lavadoras de Pulpa,2230-01-21,2230-01-21 04:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Corrosión,4,4
Digestores,2230-03-22,2230-03-24 02:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Error humano,48,50
Tamices o Cribas,2230-04-21,2230-04-21 06:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,6,6
Prensas,2230-05-26,2230-05-26 04:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,4,4
Lavadoras de Pulpa,2230-07-10,2230-07-10 05:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Desgaste natural,4,5
Prensas,2230-08-14,2230-08-15 00:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Corrosión,24,24
Bombas,2230-09-23,2230-09-23 10:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Falla mecánica,12,10
Prensas,2230-10-28,2230-10-28 12:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Condiciones operativas extremas,12,12
Lavadoras de Pulpa,2230-12-12,2230-12-12 08:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,6,8
Tamices o Cribas,2231-01-11,2231-01-11 06:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Condiciones operativas extremas,8,6
Bombas,2231-02-20,2231-02-20 02:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Sobrecarga,4,2
Lavadoras de Pulpa,2231-04-06,2231-04-06 03:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Error humano,4,3
Refinadores,2231-05-26,2231-05-28 23:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Condiciones operativas extremas,72,71
Lavadoras de Pulpa,2231-07-10,2231-07-11 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Error humano,24,26
Bombas,2231-08-19,2231-08-19 04:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Desgaste natural,6,4
Tamices o Cribas,2231-09-18,2231-09-20 23:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Desgaste natural,72,71
Lavadoras de Pulpa,2231-11-02,2231-11-02 05:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,4,5
Lavadoras de Pulpa,2231-12-17,2231-12-17 14:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Desgaste natural,12,14
Digestores,2232-02-15,2232-02-18 01:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Corrosión,72,73
Digestores,2232-04-15,2232-04-15 03:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Sobrecarga,4,3
Refinadores,2232-06-04,2232-06-07 00:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Condiciones operativas extremas,72,72
Digestores,2232-08-03,2232-08-06 02:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Desgaste natural,72,74
Refinadores,2232-09-22,2232-09-22 05:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Falla mecánica,6,5
Prensas,2232-10-27,2232-10-27 11:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,12,11
Prensas,2232-12-01,2232-12-01 22:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Fatiga del material,24,22
Tamices o Cribas,2232-12-31,2233-01-02 22:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,72,70
Bombas,2233-02-09,2233-02-09 08:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Mantenimiento insuficiente,8,8
Prensas,2233-03-16,2233-03-16 08:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,6,8
Refinadores,2233-05-05,2233-05-06 01:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Error humano,24,25
Prensas,2233-06-09,2233-06-09 10:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Corrosión,12,10
Refinadores,2233-07-29,2233-07-29 07:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Corrosión,6,7
Prensas,2233-09-02,2233-09-02 23:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Sobrecarga,24,23
Tamices o Cribas,2233-10-02,2233-10-04 22:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,72,70
Lavadoras de Pulpa,2233-11-16,2233-11-16 10:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Condiciones operativas extremas,12,10
Prensas,2233-12-21,2233-12-21 06:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Fatiga del material,4,6
Lavadoras de Pulpa,2234-02-04,2234-02-04 11:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Condiciones operativas extremas,12,11
Bombas,2234-03-16,2234-03-16 06:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Falla mecánica,6,6
Lavadoras de Pulpa,2234-04-30,2234-05-02 01:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Fatiga del material,48,49
Prensas,2234-06-04,2234-06-06 00:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,48,48
Refinadores,2234-07-24,2234-07-25 22:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,48,46
Refinadores,2234-09-12,2234-09-12 05:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,4,5
Tamices o Cribas,2234-10-12,2234-10-13 22:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,48,46
Tamices o Cribas,2234-11-11,2234-11-11 12:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Condiciones operativas extremas,12,12
Digestores,2235-01-10,2235-01-13 00:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Error humano,72,72
Lavadoras de Pulpa,2235-02-24,2235-02-24 12:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Error humano,12,12
Lavadoras de Pulpa,2235-04-10,2235-04-13 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Mantenimiento insuficiente,72,74
Prensas,2235-05-15,2235-05-15 07:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Falla mecánica,8,7
Lavadoras de Pulpa,2235-06-29,2235-06-29 03:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Corrosión,4,3
Bombas,2235-08-08,2235-08-09 22:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Desgaste natural,48,46
Digestores,2235-10-07,2235-10-07 07:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Mantenimiento insuficiente,8,7
Tamices o Cribas,2235-11-06,2235-11-06 07:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Error humano,6,7
Tamices o Cribas,2235-12-06,2235-12-08 02:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Sobrecarga,48,50
Bombas,2236-01-15,2236-01-15 08:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Mantenimiento insuficiente,6,8
Bombas,2236-02-24,2236-02-26 00:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Error humano,48,48
Tamices o Cribas,2236-03-25,2236-03-27 00:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,48,48
Digestores,2236-05-24,2236-05-24 06:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Corrosión,4,6
Bombas,2236-07-03,2236-07-03 08:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Error humano,8,8
Bombas,2236-08-12,2236-08-15 00:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Falla mecánica,72,72
Digestores,2236-10-11,2236-10-13 01:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Condiciones operativas extremas,48,49
Digestores,2236-12-10,2236-12-10 07:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Fatiga del material,8,7
Prensas,2237-01-14,2237-01-14 07:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,6,7
Prensas,2237-02-18,2237-02-18 06:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,8,6
Tamices o Cribas,2237-03-20,2237-03-21 00:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Mantenimiento insuficiente,24,24
Refinadores,2237-05-09,2237-05-11 00:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Error humano,48,48
Refinadores,2237-06-28,2237-07-01 02:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Corrosión,72,74
Prensas,2237-08-02,2237-08-04 22:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Falla mecánica,72,70
Refinadores,2237-09-21,2237-09-21 11:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Corrosión,12,11
Lavadoras de Pulpa,2237-11-05,2237-11-06 23:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Error humano,48,47
Bombas,2237-12-15,2237-12-17 23:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Error humano,72,71
Refinadores,2238-02-03,2238-02-06 00:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Condiciones operativas extremas,72,72
Bombas,2238-03-15,2238-03-15 22:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Sobrecarga,24,22
Lavadoras de Pulpa,2238-04-29,2238-04-30 01:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Falla mecánica,24,25
Digestores,2238-06-28,2238-06-28 03:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Mantenimiento insuficiente,4,3
Bombas,2238-08-07,2238-08-07 10:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Fatiga del material,12,10
Prensas,2238-09-11,2238-09-11 08:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Mantenimiento insuficiente,6,8
Prensas,2238-10-16,2238-10-18 00:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Corrosión,48,48
Bombas,2238-11-25,2238-11-25 06:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Error humano,4,6
Bombas,2239-01-04,2239-01-06 02:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Falla mecánica,48,50
Refinadores,2239-02-23,2239-02-24 02:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,24,26
Bombas,2239-04-04,2239-04-04 23:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Falla mecánica,24,23
Lavadoras de Pulpa,2239-05-19,2239-05-19 04:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Falla mecánica,4,4
Digestores,2239-07-18,2239-07-20 23:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Sobrecarga,72,71
Refinadores,2239-09-06,2239-09-08 23:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Mantenimiento insuficiente,72,71
Bombas,2239-10-16,2239-10-16 02:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Sobrecarga,4,2
Prensas,2239-11-20,2239-11-20 12:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Desgaste natural,12,12
Digestores,2240-01-19,2240-01-19 06:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Desgaste natural,4,6
